X1,Name,judge_country,number,segment,skater,skater_country,TSS
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,77.5
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,75
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,73.5
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,72.7
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,76.6
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,75.8
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,77.9
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,71.7
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,78.5
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,74.4
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,75
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,73.6
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,70.5
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,68.6
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Weaver/Poje,CAN,76.2
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,71.5
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,69.7
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,70
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,65
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,71.7
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,70.9
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,69
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,66.1
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Gilles/Poirier,CAN,70.3
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,66.3
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,71.9
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,71.5
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,70.5
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,71.5
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,66.8
