"","name","country"
"166","Margo PAUW","ISU"
"167","Meiko SASAKI","JPN"
"168","Ann SHAW","CAN"
"169","Nobuhiko YOSHIOKA","JPN"
"170","Peter RANKIN","AUS"
"171","Denis SAMOKHIN","ISU"
"172","Ariadna MORONES NEGRETE","MEX"
"173","Camilla FREDMAN","SWE"
"174","Magdalena RUSIECKA","POL"
"175","Claudia FASSORA","SUI"
"176","Laura MCNAIR","ISU"
"177","Coco SHEAN","ISU"
"178","Lorenzo MAGRI","ISU"
"179","Ann HARDY-THOMAS","ISU"
"180","Eugen LARASSER","ISU"
"181","Jamie MCGRIGOR","ISU"
"182","Sissy KRICK","GER"
"183","Leslie KEEN","CAN"
"184","Andrea DERBY","CAN"
"185","Peeter LAUR","ISU"
"186","Raia BISSEROVA-BAKALOVA","BUL"
"187","Anja RIST","GER"
"188","Nicole ENDRESS","ISU"
"189","Beatrice PFISTER","SUI"
"190","Rock LEMAY","ISU"
"191","Jean SENFT","CAN"
"192","Angelo DOLFINI","ISU"
"193","Yoko KUNO","JPN"
"194","Halina GORDON-POLTORAK","POL"
"195","Volker WALDECK","GER"
"196","William THOMPSON","CAN"
"197","Alexei BELETSKI","ISR"
"198","Reiko OGAWA","JPN"
"199","Jitka MOKRA","CZE"
"200","Berit AARNES","ISU"
"201","Igor PROKOP","SVK"
"202","Susan HEFFERNAN","CAN"
"203","Simonetta SPALLUTO","ITA"
"204","Elizabeth RYAN","AUS"
"205","Adriana DOMANSKA","SVK"
"206","Dagmar LURZ-PROTT","GER"
"207","Monika KUSTAROVA","ISU"
"208","Jeff LUKASIK","CAN"
"209","Senem AHISKAL","TUR"
"210","Michael HOPFES","ISU"
"211","Mona JONSSON","SWE"
"212","Franca BIANCONI","ISU"
"213","Alexandr GORSHKOV","ISU"
"214","Andrzej DOSTATNI","ISU"
"215","Aigul KUANISHEVA","KAZ"
"216","Ludmila MIKHAILOVSKAYA","UKR"
"217","Alice WALDER","SUI"
"218","Tarja RISTANEN","FIN"
"219","Elisabeth BINDER","AUT"
"220","Marika HUMPHREYS-BARANOVA","ISU"
"221","Richard OSTIGUY","ISU"
"222","Merja KOSONEN","FIN"
"223","Vladislav PETUKHOV","UKR"
"224","Feng HUANG","CHN"
"225","Elena FOMINA","RUS"
"226","Junko HIRAMATSU","ISU"
"227","Natalie TAYLOR","AUS"
"228","Lenka BOHUNICKA","SVK"
"229","Linda LEAVER","USA"
"230","Jan CEJVAN","ISU"
"231","Steve WINKLER","USA"
"232","Jun OKADA","ISU"
"233","Samuel AUXIER","USA"
"234","Veronique VERRUE","FRA"
"235","Svetlana KANDIBA","RUS"
"236","Julia SEBESTYEN","ISU"
"237","Eva SZILAGYI","ISU"
"238","Simona SPALLUTO","ITA"
"239","Akiko KOBAYASHI","JPN"
"240","Joyce D. KOMPERDA","USA"
"241","Lisa JELINEK","AUS"
"242","Patricia HOUGHTON","GBR"
"243","Konstantin KOSTIN","ISU"
"244","Ludwig CZOCZEK","GER"
"245","Masako KUBOTA","JPN"
"246","Slavka GRINCOVA","ISU"
"247","Eddy WU","TPE"
"248","Igor FEDCHENKO","UKR"
"249","Chihee RHEE","KOR"
"250","Nobuo WAKITA","JPN"
"251","Sandra WILLIAMSON-LEADLEY","NZL"
"252","Lone CHRISTENSEN AMSTRUP","ISU"
"253","Julia REY","ISU"
"254","Andreas WALDECK","GER"
"255","Daniel HUGENTOBLER","ISU"
"256","Xander GIJTENBEEK","ISU"
"257","Tomas KIKA","ISU"
"258","Alfred KORYTEK","ISU"
"259","Anna CHATZIATHANASSIOU","ISU"
"260","Julia ANDREEVA","RUS"
"261","Karen BUTCHER","CAN"
"262","Gabor KOLECSANSZKY","ISU"
"263","Elizabeth LITTLER","ISU"
"264","Yukiko OKABE","JPN"
"265","Yury BALKOV","UKR"
"266","Tiziana MORANDI","ITA"
"267","Marina SANAIA","RUS"
"268","Myriam LORIOL-OBERWYLER","ISU"
"269","Marcin KOZUBEK","POL"
"270","Gavril VELCHEV","ISU"
"271","Christine HURTH","FRA"
"272","Georgi DIMKOV","ISU"
"273","Georg KRUMMENACHER","SUI"
"274","Edith SCHILLER","AUT"
"275","Sarkis TEWANIAN","ISU"
"276","Lionel AVOT","ISU"
"277","Olga ZAKOVA","CZE"
